World air traffic (departures);"1 accident 
per x flights";"fatal accidents 
per mln flights";Year;;;
9448300;157472;6.35;1970;;;
9504500;202223;4.95;1971;;;
;;;1972;;;
9764900;160080;6.25;1973;;;
9254900;159567;6.27;1974;;;
9244700;214993;4.65;1975;;;
9562900;187508;5.33;1976;;;
9915900;194429;5.14;1977;;;
10183700;248383;4.03;1978;;;
10653400;193698;5.16;1979;;;
10704900;324391;3.08;1980;;;
10270100;277570;3.60;1981;;;
10335800;333413;3.00;1982;;;
10758700;336209;2.97;1983;;;
11404000;380133;2.63;1984;;;
11897900;305074;3.28;1985;;;
12677000;333605;3.00;1986;;;
13244800;308019;3.25;1987;;;
13880900;257054;3.89;1988;;;
14021100;259650;3.85;1989;;;
14583900;347236;2.88;1990;;;
14360900;293080;3.41;1991;;;
14918800;310808;3.22;1992;;;
15986200;355249;2.81;1993;;;
17218900;351406;2.85;1994;;;
18008200;375171;2.67;1995;;;
18953600;386808;2.59;1996;;;
19546600;528286;1.89;1997;;;
19653200;418153;2.39;1998;;;
20736600;482247;2.07;1999;;;
22008658;594829;1.68;2000;;;
22264220;618451;1.62;2001;;;
20817389;630830;1.59;2002;;;
21282617;886776;1.13;2003;;;
23752616;742269;1.35;2004;;;
24228965;712617;1.40;2005;;;
24843166;1035132;0.97;2006;;;
26016011;867200;1.15;2007;;;
25498093;980696;1.02;2008;;;
26120525;1135675;0.88;2009;;;
29637587;1097688;0.91;2010;;;
30564579;955143;1.05;2011;;;
30771268;1709515;0.58;2012;;;
31116727;1352901;0.74;2013;;;
32340000;1796667;0.56;2014;;;
33272000;3327200;0.30;2015;;;
34759000;2172438;0.46;2016;;;
36348000;3634800;0.28;2017;;;
37795000;2699643;0.37;2018;;;
39000000;1950000;0.51;2019;;;